Thumb,Index,Middle,Ring,Pinky,AccX,AccY,AccZ,GyroX,GyroY,GyroZ,gesture
0.0129,0.0,0.0,0.0,0.2962,4763.59,17314.89,-17901.49,-151.49,-249.61,-234.64,HELLO
0.0066,0.0,0.0,0.0,0.2082,4691.59,17410.89,-17857.49,-432.49,-305.61,-256.64,HELLO
0.0028,0.0,0.0,0.0,0.1236,4499.59,17286.89,-17697.49,-366.49,-211.61,-287.64,HELLO
0.0041,0.0,0.0,0.0,0.0673,4491.59,17334.89,-17629.49,-269.49,-116.61,-258.64,HELLO
0.0066,0.0,0.0,0.0,0.0708,4367.59,17450.89,-17589.49,-115.49,-99.61,-212.64,HELLO
0.0053,0.0,0.0,0.0,0.1272,4511.59,17430.89,-17593.49,-73.49,71.39,-71.64,HELLO
0.0053,0.0,0.0,0.0,0.2187,4203.59,17466.89,-17641.49,-119.49,-224.61,123.36,HELLO
0.0155,0.0,0.0,0.0,0.3033,4623.59,17502.89,-17457.49,-185.49,86.39,45.36,HELLO
0.0155,0.0,0.0,0.0,0.3491,4671.59,17358.89,-17453.49,-8.49,364.39,-38.64,HELLO
0.0066,0.0,0.0,0.0,0.3561,4587.59,17578.89,-17545.49,235.51,323.39,91.36,HELLO
0.0091,0.0,0.0,0.0,0.2927,4591.59,17382.89,-17465.49,260.51,-73.61,171.36,HELLO
0.0142,0.0,0.0,0.0,0.2082,4867.59,17458.89,-17581.49,259.51,62.39,-6.64,HELLO
0.0053,0.0,0.0,0.0,0.1272,4791.59,17482.89,-17677.49,212.51,86.39,-125.64,HELLO
0.0066,0.0,0.0,0.0,0.0673,4839.59,17298.89,-17565.49,298.51,131.39,-89.64,HELLO
0.0028,0.0,0.0,0.0,0.0743,4379.59,17418.89,-17753.49,281.51,35.39,-45.64,HELLO
0.0028,0.0,0.0,0.0,0.1272,4507.59,17434.89,-17841.49,275.51,-110.61,-79.64,HELLO
0.0066,0.0,0.0,0.0,0.2187,4671.59,17458.89,-17725.49,277.51,-95.61,-59.64,HELLO
0.0028,0.0,0.0,0.0,0.2998,4587.59,17470.89,-17749.49,114.51,338.39,-127.64,HELLO
0.0066,0.0,0.0,0.0,0.3491,4503.59,17454.89,-17977.49,72.51,51.39,34.36,HELLO
0.0142,0.0,0.0,0.0,0.3385,4587.59,17526.89,-17945.49,37.51,273.39,-86.64,HELLO
0.0104,0.0,0.0,0.0,0.2962,4403.59,17402.89,-18181.49,-47.49,1.39,-9.64,HELLO
